"id","part_of_speech","definition","answer"
"238","adj.","tight","тесный"
"239","noun","performance (execution)","исполнение"
"240","adj.","chronic","хронический"
"241","noun","aspiration","стремление"
"242","verb","fill (completed action)","наполнить"
"243","adv.","motionless","неподвижно"
"244","adj.","immovable","неподвижный"
"245","adv.","clearly (distinct)","чётко"
"246","verb","pass by (in a vehicle)","проехать"
"247","verb","take away (seize)","отобрать"
"248","noun","guilt","вина"
"249","noun","witch","ведьма"
"250","adj.","genuine","подлинный"
"251","noun","lawyer","адвокат"
"252","noun","April","апрель"
"253","noun","budget","бюджет"
"254","noun","boatswain","боцман"
"255","verb","destroy, ruin","разрушить"
"256","noun","shack","барак"
"257","adj.","deep red, crimson","алый"
"258","noun","archive","архив"
"259","verb","listen (listen to the end)","выслушать"
"260","adj.","colorful (varied)","цветной"
"261","verb","jump (jump once)","прыгнуть"
"262","noun","deck","палуба"
"263","adj.","bloody","кровавый"
"264","adj.","free (unrestrained)","вольный"
"265","verb","trust","доверять"
"266","noun","youth (teenage years)","юность"
"267","noun","collecting","сбор"
"268","noun","bazaar","базар"
"269","verb","violate (once)","нарушить"
"270","noun","readiness","готовность"
"271","noun","frontier","рубеж"
"272","adv.","sincerely","искренне"
"273","","oh (pain)","ай"
"274","noun","profit","прибыль"
"275","","in advance of","передо"
"276","","so to speak","дескать"
"277","noun","intelligentsia","интеллигенция"
"278","noun","post office","почта"
"279","verb","surrender (give up)","сдавать"
"280","noun","monastery","монастырь"
"281","noun","practice","практика"
"282","verb","spend (expend)","тратить"
"283","noun","fury","ярость"
"284","verb","commit (repeated action)","совершать"
"285","verb","draw (one-time action)","нарисовать"
"286","verb","dream (involuntary)","сниться"
"287","noun","academy","академия"
"288","noun","physiognomy","физиономия"
"289","noun","jet","струя"
"290","adj.","capital","столичный"
"291","adj.","underground","подземный"
"292","adj.","head","головной"
"293","verb","burn (sth.)","попалить"
"294","verb","cease","переставать"
"295","noun","mother-in-law","теща"
"296","noun","alien","пришелец"
"297","noun","gnome","гном"
"298","noun","envelope","конверт"
"299","noun","procedure","процедура"
"300","verb","carry, take","понести"
"301","verb","need","нуждаться"
"302","noun","puddle","лужа"
"303","verb","saw (once)","выпилить"
"304","adj.","unusual","необычный"
"305","verb","get angry (repeatedly)","сердиться"
"306","noun","skirt","юбка"
"307","noun","bell","звон"
"308","verb","connect","соединить"
"309","noun","hatch","люк"
"310","verb","make a mistake (repeatedly)","ошибаться"
"311","adj.","bad (naughty)","нехороший"
"312","adv.","not good","нехорошо"
"313","adj.","recent (not long ago)","недавний"
"314","noun","airport","аэропорт"
"315","verb","pose, ask","задать"
"316","verb","be observed","наблюдаться"
"317","noun","lieutenant colonel","подполковник"
"318","verb","lose oneself","растеряться"
"319","verb","keep quiet (for a long time)","промолчать"
"320","verb","express oneself","выражаться"
"321","noun","wealth (riches, wealth)","богатство"
"322","adj.","wise","мудрый"
"323","noun","tax","налог"
"324","adv.","everywhere (all over)","всюду"
"325","noun","minimum","минимум"
"326","adv.","from a distance","издали"
"327","noun","hell","ад"
"328","noun","towel","полотенце"
"329","noun","inflammation","воспаление"
"330","noun","pleasure (more intense)","наслаждение"
"331","noun","sale","продажа"
"332","noun","fascist","фашист"
"333","adj.","prickly","колючий"
"334","verb","win a game, contest (once)","выиграть"
"335","noun","cavity","полость"
"336","noun","wire","проволока"
"337","verb","surprise","удивить"
"338","noun","fleet","флот"
"339","adv.","confidently","уверенно"
"340","noun","mask","маска"
"341","verb","turn on","включать"
"342","adv.","surprised","удивленно"
"343","noun","attack","атака"
"344","noun","agreement","согласие"
"345","verb","swear (an oath)","клясться"
"346","adj.","revealed","раскрытый"
"347","verb","wish (once)","пожелать"
"348","noun","red","красный"
"349","verb","get to work","приниматься"
"350","verb","apply (one-time action)","приложить"
"351","noun","reform","реформа"
"352","verb","hurl something","кинуть"
"353","adj.","operational","оперативный"
"354","verb","eat (animals)","жрать"
"355","noun","technician","техник"
"356","adj.","crafty","дошлый"
"357","adv.","for a long time","надолго"
"358","verb","break away","оторваться"
"359","noun","guard","охранник"
"360","verb","frighten","пугать"
"361","noun","installation","установка"
"362","verb","flash (intermittently)","сверкать"
"363","noun","expense","расход"
"364","adj.","forgotten","забытый"
"365","verb","eat (a bit)","поесть"
"366","noun","envy","зависть"
"367","noun","baron","барон"
"368","adj.","talented","талантливый"
"369","verb","set off (ongoing)","отправляться"
"370","adv.","undoubtedly","несомненно"
"371","verb","depict (one-time event)","изобразить"
"372","noun","delirium","бред"
"373","adv.","deliberately","нарочно"
"374","noun","entryway","прихожая"
"375","noun","commandant","комендант"
"376","adj.","tall","рослый"
"377","verb","express verbally","высказать"
"378","adj.","murky","мутный"
"379","noun","brush","кисть"
"380","noun","circus","цирк"
"381","noun","quarter (urban district)","квартал"
"382","adj.","ridiculous","нелепый"
"383","adv.","on foot","пешком"
"384","adj.","dreadful (horrifying)","жуткий"
"385","noun","housing","жильё"
"386","noun","fit","приступ"
"387","adj.","previous","предыдущий"
"388","verb","burn (sth.) secretly","спалить"
"389","noun","Politburo","Политбюро"
"390","noun","rescue","спасение"
"391","adj.","moral (ethics)","моральный"
"392","noun","definition","определение"
"393","noun","specimen","образец"
"394","num.","eleven","одиннадцать"
"395","adj.","local (from here)","здешний"
"396","noun","fantasy","фантазия"
"397","noun","sport","спорт"
"398","adv.","initially (in the beginning)","вначале"
"399","adj.","smooth","гладкий"
"400","noun","July","июль"
"401","verb","whisper (whisper regularly)","шептать"
"402","noun","telegram","телеграмма"
"403","noun","beverage","напиток"
"404","noun","trade","торговля"
"405","noun","humor","юмор"
"406","verb","spoil","испортить"
"407","adj.","silent","молчаливый"
"408","adv.","therefore (consequently)","следовательно"
"409","noun","departure (for vehicles)","отъезд"
"410","noun","reading","чтение"
"411","verb","torment","мучить"
"412","verb","put on (repeatedly)","надевать"
"413","noun","dusk","сумерки"
"414","adj.","royal (tsar's)","царский"
"415","verb","fly out","вылететь"
"416","noun","ravine","овраг"
"417","adv.","shortly","недолго"
"418","verb","meet visually","видеться"
"419","adv.","freely","свободно"
"420","verb","guard","охранять"
"421","noun","aviation","авиация"
"422","noun","Berlin","Берлин"
"423","","such a (casual)","этакий"
"424","noun","relief","облегчение"
"425","verb","remain hidden","скрываться"
"426","adj.","spring","весенний"
"427","verb","climb in","влезть"
"428","verb","shake (violently)","трясти"
"429","adj.","ordinary (rank and file)","рядовой"
"430","verb","come closer, approach","приблизиться"
"431","noun","hole","дыра"
"432","verb","insist","настаивать"
"433","noun","orchestra","оркестр"
"434","noun","visit","визит"
"435","noun","Bolshevik","большевик"
"436","noun","Siberia","Сибирь"
"437","adj.","diligent","старательный"
"438","adj.","tense","напряжённый"
"439","noun","toy car","машинка"
"440","noun","term (jargon)","термин"
"441","noun","interview","интервью"
"442","verb","survive","выжить"
"443","adv.","proudly","гордо"
"444","adj.","proud","гордый"
"445","verb","leave, abandon","покидать"
"446","noun","arrive","приезд"
"447","noun","tobacco","табак"
"448","noun","negotiations","переговоры"
"449","noun","garage","гараж"
"450","adj.","bookish","книжный"
"451","noun","stalker","сталкер"
"452","adv.","uncomfortable","неудобно"
"453","adj.","rural (countryside)","сельский"
"454","verb","hand over","протягивать"
"455","verb","trade","торговать"
"456","adj.","classic","классический"
"457","verb","fall behind (one-time event)","отстать"
"458","adj.","slimy","слизистый"
"459","adj.","cautious","осторожный"
"460","verb","fulfill","исполнить"
"461","","such as this","таковой"
"462","adj.","audible","слышный"
"463","noun","crisis","кризис"
"464","adj.","stuffed","набитый"
"465","adj.","responsible","ответственный"
"466","adv.","like","подобно"
"467","noun","meeting (consultation)","совещание"
"468","verb","be heard (be echoed)","раздаваться"
"469","verb","suffer (once)","мучиться"
"470","noun","risk","риск"
"471","noun","alive","живой"
"472","noun","soap","мыло"
"473","verb","throw away","забросить"
"474","verb","count (specific instance)","счесть"
"475","noun","small pot","котелок"
"476","adj.","elevated","повышенный"
"477","noun","repair","ремонт"
"478","noun","authority","авторитет"
"479","noun","wire (cable)","провод"
"480","verb","be used","использоваться"
"481","verb","apologize (repeatedly)","извиняться"
"482","verb","introduce oneself (informally)","представиться"
"483","noun","Englishman","англичанин"
"484","verb","assure","уверять"
"485","noun","offensive","наступление"
"486","noun","volume","объём"
"487","verb","take away (subtract)","отнять"
"488","noun","roar","рёв"
"489","noun","shield","щит"
"490","noun","herd","стадо"
"491","adv.","confusedly","растерянно"
"492","","no one","некого"
"493","noun","walk","прогулка"
"494","noun","nature (character)","натура"
"495","noun","cap (military type)","фуражка"
"496","verb","consider, review","рассмотреть"
"497","verb","take into account (ongoing)","учитывать"
"498","noun","recognition","признание"
"499","adj.","democratic","демократический"
"500","noun","outskirts","окраина"
"501","verb","thunder","греметь"
"502","verb","look around (once)","оглядеться"
"503","adj.","brilliant (intellectually)","гениальный"
"504","adj.","dusty","пыльный"
"505","noun","mage","маг"
"506","verb","step (step continuously)","ступать"
"507","verb","burn out","сгореть"
"508","adv.","tightly (dense)","плотно"
"509","noun","addressing","обращение"
"510","noun","business trip","командировка"
"511","noun","suspicion","подозрение"
"512","noun","gene","ген"
"513","verb","go out, extinguish","погаснуть"
"514","adj.","commercial (trade)","торговый"
"515","noun","anger","злость"
"516","noun","bubble","пузырь"
"517","noun","test","испытание"
"518","verb","inflict","нанести"
"519","adj.","passerby","прохожий"
"520","noun","jump","прыжок"
"521","noun","vein","вена"
"522","verb","wipe (ongoing)","вытирать"
"523","","including","включая"
"524","verb","realize","осознать"
"525","verb","pass by","пройтись"
"526","adv.","offended","обидно"
"527","noun","stick (small)","палочка"
"528","adj.","Leningrad","ленинградский"
"529","verb","be suitable","годиться"
"530","adv.","mentally","мысленно"
"531","noun","KGB","КГБ"
"532","verb","fill (completely)","заполнить"
"533","noun","gaze","взор"
"534","verb","irritate","раздражать"
"535","noun","naras","нары"
"536","noun","catastrophe","катастрофа"
"537","noun","collective","коллектив"
"538","adj.","new (brand new)","новенький"
"539","noun","choir","хор"
"540","verb","refuse (deny)","отказать"
"541","verb","postpone","отложить"
"542","verb","bring together","свести"
"543","verb","earn (ongoing process)","зарабатывать"
"544","verb","tear suddenly","рвануть"
"545","noun","order (purchase order)","заказ"
"546","adj.","maximum","максимальный"
"547","adj.","railway","железнодорожный"
"548","noun","certificate","свидетельство"
"549","adj.","state-owned","казённый"
"550","verb","mark (general)","отмечать"
"551","verb","bow","поклониться"
"552","verb","report (repeatedly)","докладывать"
"553","verb","take (carry away)","отнести"
"554","adv.","practically (actually)","фактически"
"555","verb","tie (tie up)","привязать"
"556","adj.","positive","положительный"
"557","noun","tragedy","трагедия"
"558","adv.","outside (outwards)","наружу"
"559","verb","poke (once)","ткнуть"
"560","noun","activist","деятель"
"561","noun","progress","прогресс"
"562","verb","clamp","зажать"
"563","noun","advertisement","реклама"
"564","noun","glass (wine glass)","бокал"
"565","noun","tap","кран"
"566","noun","avenue (wide city street)","проспект"
"567","noun","small gate","калитка"
"568","noun","enlargement","увеличение"
"569","noun","brotherly","братец"
"570","noun","route","маршрут"
"571","noun","fur coat","шуба"
"572","verb","pull (once)","дёрнуть"
"573","adj.","energetic","энергичный"
"574","verb","transport (ongoing)","возить"
"575","noun","continuation","продолжение"
"576","adj.","hopeless","безнадёжный"
"577","verb","contemplate","размышлять"
"578","noun","arrest","арест"
"579","verb","roll (once)","катиться"
"580","noun","Chinese (person)","китаец"
"581","noun","wealth (capital, wealth)","капитал"
"582","noun","space (cosmos)","космос"
"583","adv.","to the left (on left side)","налево"
"584","verb","shatter, break","разбить"
"585","adv.","directly","непосредственно"
"586","verb","offend","обидеть"
"587","verb","touch (touch briefly)","коснуться"
"588","noun","Italy","Италия"
"589","noun","prisoner","заключённый"
"590","noun","description","описание"
"591","verb","highlight","выделить"
"592","verb","die (die colloquially)","помереть"
"593","adj.","mortal","смертный"
"594","verb","scold","ругать"
"595","noun","design","замысел"
"596","noun","farmstead","хутор"
"597","noun","sailor (navy)","матрос"
"598","noun","noon","полдень"
"599","noun","sonny","сынок"
"600","verb","disturb, worry","беспокоить"
"601","verb","restore","восстановить"
"602","noun","exhibition","выставка"
"603","noun","zero","ноль"
"604","verb","achieve goal","достигать"
"605","noun","intestine","кишка"
"606","noun","majesty","величество"
"607","noun","grain","зерно"
"608","noun","small chain","цепочка"
"609","noun","coin","монета"
"610","verb","cause worry","волновать"
"611","adj.","desperate","отчаянный"
"612","noun","protocol","протокол"
"613","noun","ideal","идеал"
"614","noun","glove","перчатка"
"615","noun","village (rural settlement)","село"
"616","verb","stay, delay","задержаться"
"617","adj.","impatient","нетерпеливый"
"618","verb","knock (loudly)","стукнуть"
"619","adj.","heartfelt","сердечный"
"620","adv.","previously","ранее"
"621","noun","face (pejorative)","рожа"
"622","noun","date (as in calendar)","дата"
"623","noun","greens","зелень"
"624","verb","underline","подчеркнуть"
"625","","if (archaic)","ежели"
"626","verb","dial (ongoing action)","набирать"
"627","verb","divide (one-time action)","разделить"
"628","noun","cabin (on a ship)","каюта"
"629","noun","February","февраль"
"630","noun","incident","происшествие"
"631","verb","perform (fulfill)","исполнять"
"632","noun","category","категория"
"633","verb","spit (once)","плюнуть"
"634","verb","impart, give","придавать"
"635","noun","tram","трамвай"
"636","adj.","curious","любопытный"
"637","verb","extract (one-time action)","извлечь"
"638","noun","embankment","набережная"
"639","noun","television (medium)","телевидение"
"640","noun","product (production)","продукция"
"641","verb","expel","выгнать"
"642","noun","marshal","маршал"
"643","verb","start actively","приступить"
"644","noun","intellectual","интеллигент"
"645","noun","factory","фабрика"
"646","verb","share (ongoing)","делиться"
"647","noun","testimony","показание"
"648","verb","bear","выносить"
"649","adv.","carelessly","небрежно"
"650","adv.","definitely","безусловно"
"651","noun","trifle (colloquial)","пустяк"
"652","adj.","multicolored","разноцветный"
"653","verb","fly in","прилететь"
"654","noun","plant","растение"
"655","noun","rumble (steady noise)","гул"
"656","verb","join (ongoing, informally)","вступать"
"657","adj.","slender (graceful)","стройный"
"658","verb","get dressed (process)","одеваться"
"659","verb","appreciate","ценить"
"660","noun","shame","стыд"
"661","noun","bureau","бюро"
"662","verb","wrap","завернуть"
"663","verb","perceive","воспринимать"
"664","noun","dock","дока"
"665","verb","get rid of","избавиться"
"666","adj.","German (related to Germany)","германский"
"667","verb","carry away","унести"
"668","verb","light","зажечь"
"669","adj.","square","квадратный"
"670","noun","advisor","советник"
"671","noun","shoe (more informal)","башмак"
"672","noun","thirst","жажда"
"673","adj.","popular","популярный"
"674","noun","advantage","преимущество"
"675","adv.","to the right (turn right)","направо"
"676","noun","summers","лет"
"677","noun","prose","проза"
"678","noun","property (assets)","имущество"
"679","noun","award","премия"
"680","adj.","infatuated","влюблённый"
"681","noun","barracks","казарма"
"682","","on top of","поверх"
"683","verb","attract (specific instance)","привлечь"
"684","noun","appearance (physical)","внешность"
"685","noun","arrival","приход"
"686","verb","find oneself","очутиться"
"687","adj.","monstrous","чудовищный"
"688","noun","bet","ставка"
"689","adj.","criminal (in law)","уголовный"
"690","verb","say goodbye (continuously)","прощаться"
"691","verb","fail","провалиться"
"692","verb","be located (permanent)","располагаться"
"693","noun","rice","рис"
"694","noun","manner","манера"
"695","verb","flicker (repeatedly)","мелькать"
"696","noun","custom","обычай"
"697","verb","turn over","перевернуть"
"698","noun","jaws","пасть"
"699","noun","medal","медаль"
"700","verb","spin (continuously)","крутиться"
"701","noun","biography","биография"
"702","noun","Ukraine","Украина"
"703","noun","London","Лондон"
"704","adj.","tiny (miniscule)","крохотный"
"705","noun","notebook","тетрадь"
"706","adv.","swiftly","стремительно"
"707","verb","have lunch","обедать"
"708","verb","violate (ongoing)","нарушать"
"709","noun","bicycle","велосипед"
"710","noun","well","колодец"
"711","adj.","annoying","противный"
"712","noun","tip","кончик"
"713","noun","bathtub","ванна"
"714","noun","complaint","жалоба"
"715","adj.","traditional","традиционный"
"716","adj.","grateful","благодарный"
"717","verb","convince (one-time action)","убедить"
"718","noun","shooting","стрельба"
"719","noun","refrigerator","холодильник"
"720","adj.","furious","бешеный"
"721","noun","departure (more abstract)","исход"
"722","noun","education (upbringing)","воспитание"
"723","noun","reward","награда"
"724","noun","liver","печень"
"725","verb","unfold (unfold oneself)","развернуться"
"726","adj.","typical","типичный"
"727","adj.","guard","часовой"
"728","noun","poem","стихотворение"
"729","noun","characterization","характеристика"
"730","adv.","solemnly","торжественно"
"731","adj.","solemn","торжественный"
"732","adj.","fiery","огненный"
"733","noun","bandage","повязка"
"734","adj.","festive","праздничный"
"735","noun","accounting","учет"
"736","noun","fortress","крепость"
"737","verb","manifest (show continuously)","проявлять"
"738","verb","swing","качать"
"739","noun","extraction","добыча"
"740","noun","difficulty","трудность"
"741","adj.","spacious","просторный"
"742","verb","retreat (ongoing)","отступать"
"743","adv.","accordingly","соответственно"
"744","noun","skill","умение"
"745","verb","bury (informal)","завалить"
"746","verb","deposit","внести"
"747","verb","hit against","упереться"
"748","verb","catch unexpectedly","застать"
"749","adj.","regular","постоялый"
"750","noun","interval","перерыв"
"751","noun","governor","губернатор"
"752","verb","descend (be lowering)","опускаться"
"753","noun","trust","доверие"
"754","noun","consecutive","подряд"
"755","adj.","fantastic","фантастический"
"756","verb","darken","темнеть"
"757","noun","poison","яд"
"758","noun","living room","гостиная"
"759","noun","income","доход"
"760","verb","cause, render","оказать"
"761","adj.","luxurious (opulent)","роскошный"
"762","noun","poppy","мак"
"763","noun","instruction (manual)","инструкция"
"764","noun","tranquility","спокойствие"
"765","noun","perplexity","недоумение"
"766","adj.","psychological","психологический"
"767","noun","hobbit","хоббит"
"768","noun","binoculars","бинокль"
"769","noun","bald","лысый"
"770","adj.","bald","лысый"
"771","verb","gaze","вглядываться"
"772","noun","kilogram","килограмм"
"773","adj.","revolutionary","революционный"
"774","adj.","lesser","меньший"
"775","adj.","double","двойной"
"776","noun","march (as in procession)","марш"
"777","noun","universe","вселенная"
"778","verb","add, increase","прибавить"
"779","noun","monster (creature)","тварь"
"780","noun","teapot","чайник"
"781","noun","ski","лыжа"
"782","verb","lower (let down)","спустить"
"783","noun","anxiety","беспокойство"
"784","verb","publish","опубликовать"
"785","verb","release (be letting go)","отпускать"
"786","noun","hint","намёк"
"787","verb","punch","пробить"
"788","verb","steal (repeatedly)","воровать"
"789","noun","cry","плач"
"790","adv.","anxiously","тревожно"
"791","adj.","anxious","тревожный"
"792","adj.","natural (related to nature)","природный"
"793","noun","tractor","трактор"
"794","adv.","separately","отдельно"
"795","verb","allow (admit possibility)","допускать"
"796","verb","calculate","рассчитать"
"797","verb","melt","таять"
"798","verb","be indignant","возмутиться"
"799","adj.","fashionable","модный"
"800","verb","gasp for breath","задыхаться"
"801","verb","part","расстаться"
"802","verb","end one's life","покончить"
"803","noun","guitar","гитара"
"804","noun","remark","замечание"
"805","adj.","perfect","совершенный"
"806","verb","take place (ongoing)","проводиться"
"807","noun","crouch","корточки"
"808","noun","slave","раб"
"809","noun","establishment","заведение"
"810","noun","flag (banner, standard)","знамя"
"811","noun","thigh","бедро"
"812","noun","flash","вспышка"
"813","noun","fruit","фрукт"
"814","verb","hide completely","скрыть"
"815","noun","motorcycle","мотоцикл"
"816","adj.","not tall","невысокий"
"817","noun","event (planned)","мероприятие"
"818","noun","rank (military)","чин"
"819","adj.","acting","действующий"
"820","noun","administration","администрация"
"821","verb","be late","опоздать"
"822","adj.","fire","пожарный"
"823","verb","intercept","перехватить"
"824","noun","loop","петля"
"825","adj.","undefined","неопределённый"
"826","adj.","unnecessary","ненужный"
"827","noun","sheet","простыня"
"828","noun","showcase","витрина"
"829","noun","appetite","аппетит"
"830","adv.","slowly but surely","потихоньку"
"831","verb","keep calming down","успокаивать"
"832","verb","provide (continuously)","обеспечивать"
"833","verb","specify","уточнить"
"834","adv.","dangerously","опасно"
"835","noun","eyelash","ресница"
"836","verb","acquire, find","обрести"
"837","verb","stroke (once)","погладить"
"838","noun","criticism","критика"
"839","adj.","damn","чёртовый"
"840","noun","spy","шпион"
