"no","part_of_speech","definition","answer"
"665","verb","крикнуть","shout once"
"666","noun","трубка","tube"
"667","noun","враг","enemy"
"668","verb","показывать","show (regularly)"
"669","num.","двое","two (people)"
"670","noun","доктор","doctor (an academic title)"
"671","noun","ладонь","palm"
"672","verb","вызвать","cause, summon"
"673","adv.","спокойно","calmly"
"674","verb","попросить","ask politely"
"675","noun","наука","science"
"676","noun","лейтенант","lieutenant"
"677","noun","служба","service"
"678","verb","оказываться","find oneself appearing"
"679","verb","привести","lead here, bring"
"680","num.","сорок","forty"
"681","noun","счет","score"
"682","verb","возвращаться","return (coming back)"
"683","adj.","золотой","golden"
"684","adj.","местный","local (specific area)"
"685","noun","кухня","kitchen"
"686","adj.","крупный","large"
"687","noun","решение","decision"
"688","noun","молодая","young"
"689","num.","тридцать","thirty"
"690","noun","роман","novel"
"691","verb","требовать","demand (ongoing action)"
"692","noun","компания","company"
"693","adj.","частый","frequent"
"694","adj.","российский","Russian (relating to Russia)"
"695","adj.","рабочий","working"
"696","verb","потерять","lose (completely)"
"697","noun","течение","flow"
"698","adj.","синий","deep shade of blue"
"699","adv.","столько","so much (this much)"
"700","adj.","теплый","warm"
"701","noun","метр","meter"
"702","verb","достать","get (retrieve)"
"703","adj.","железный","iron"
"704","noun","институт","institute"
"705","verb","сообщить","inform (one-time)"
"706","noun","интерес","interest"
"707","adj.","обычный","usual"
"708","verb","появляться","begin to appear"
"709","verb","упасть","fall (sudden action)"
"710","","остальной","the rest"
"711","noun","половина","half"
"712","adj.","московский","Moscow"
"713","num.","шесть","six"
"714","verb","получиться","succeed (turn out well)"
"715","noun","качество","quality"
"716","noun","бой","fight (battle)"
"717","noun","шея","neck"
"718","adv.","вон","there (yonder)"
"719","noun","идея","idea"
"720","adv.","видимо","apparently"
"721","adv.","достаточно","enough"
"722","adj.","достаточный","sufficient"
"723","verb","провести","spend (conduct)"
"724","adv.","важно","important"
"725","adj.","важный","important"
"726","noun","трава","grass"
"727","noun","дед","grandfather"
"728","noun","сознание","consciousness"
"729","noun","родитель","parent"
"730","verb","простить","forgive (one-time)"
"731","verb","бить","beat"
"732","noun","чай","tea"
"733","adj.","поздний","late"
"734","verb","кивнуть","nod (once)"
"735","noun","род","kin"
"736","verb","исчезнуть","disappear instantly"
"737","adj.","тонкий","thin (fine)"
"738","noun","немецкий","German (language)"
"739","adj.","немецкий","German (language)"
"740","noun","звук","sound"
"741","verb","отдать","give away (once)"
"742","noun","магазин","store"
"743","noun","президент","president"
"744","noun","поэт","poet"
"745","noun","спасибо","thank you"
"746","noun","болезнь","illness"
"747","noun","событие","event"
"748","verb","помочь","help (one-time assistance)"
"749","noun","кожа","skin"
"750","noun","лист","leaf"
"751","verb","слать","send continuously"
"752","verb","вспоминать","remember (be recalling)"
"753","adj.","прекрасный","extremely beautiful"
"754","noun","слеза","tear"
"755","noun","надежда","hope"
"756","adv.","молча","silently (quiet)"
"757","adv.","сильно","strongly"
"758","adv.","верно","correctly (true)"
"759","adj.","верный","faithful"
"760","noun","литература","literature"
"761","noun","оружие","weapon"
"762","adj.","готовый","ready"
"763","noun","запах","smell"
"764","adv.","неожиданно","unexpectedly"
"765","adv.","вчера","yesterday"
"766","adj.","вчерашний","yesterday's"
"767","verb","вздохнуть","sigh (once)"
"768","noun","роль","role"
"769","noun","рост","growth"
"770","noun","природа","nature"
"771","adj.","политический","political"
"772","noun","точка","point"
"773","noun","звезда","star"
"774","verb","петь","sing (ongoing)"
"775","verb","садиться","sit (be sitting down)"
"776","noun","фамилия","surname"
"777","noun","характер","character"
"778","","пожалуйста","please"
"779","adv.","выше","above"
"780","noun","офицер","officer"
"781","noun","толпа","crowd"
"782","verb","перестать","stop completely"
"783","verb","придтись","be required"
"784","noun","уровень","level"
"785","adj.","неизвестный","unknown (unidentified)"
"786","noun","кресло","armchair"
"787","noun","баба","old woman"
"788","noun","секунда","second"
"789","verb","пожаловать","come (formal)"
"790","noun","банк","bank"
"791","noun","опыт","experience"
"792","adj.","тихий","quiet"
"793","","поскольку","because (cause)"
"794","noun","сапог","boot"
"795","noun","правило","rule"
"796","noun","стекло","glass (material)"
"797","verb","получать","get (be receiving)"
"798","adj.","внутренний","internal"
"799","noun","дочь","daughter"
"800","verb","называться","be called"
"801","verb","надеяться","hope"
"802","noun","член","member"
"803","verb","протянуть","stretch out to"
"804","adj.","государственный","state"
"805","noun","десяток","dozen"
"806","adj.","глубокий","deep"
"807","adv.","глубоко","deeply"
"808","noun","цветок","flower"
"809","","ах","oh (astonishment)"
"810","noun","желание","desire"
"811","noun","дождь","rain"
"812","","впереди","ahead of"
"813","verb","подходить","be approaching"
"814","num.","много","many"
"815","noun","лоб","forehead"
"816","noun","улыбка","smile"
"817","noun","борьба","struggle"
"818","noun","ворот","gate"
"819","noun","ящик","crate"
"820","noun","этаж","floor (of a building)"
"821","verb","служить","serve (to work)"
"822","adv.","вновь","again (once again)"
"823","noun","голубой","blue"
"824","adj.","голубой","light, pale blue"
"825","","нечего","nothing (to do)"
"826","noun","революция","revolution"
"827","adv.","впервые","for the first time"
"828","noun","сосед","neighbor"
"829","noun","сестра","sister"
"830","adj.","долгий","long (in duration)"
"831","","чей","whose"
"832","verb","поверить","believe (specific instance)"
"833","noun","ситуация","situation"
"834","verb","взглянуть","look (to take a glance)"
"835","adj.","слабый","weak"
"836","noun","количество","quantity"
"837","verb","вызывать","cause, summon (repeatedly)"
"838","adj.","уверенный","confident"
"839","noun","выход","exit"
"840","noun","совет","advice"
"841","noun","дурак","fool (male)"
"842","adj.","любимый","beloved"
"843","noun","союз","union"
"844","noun","лето","summer"
"845","verb","ожидать","wait (expect)"
"846","adj.","пришлый","recent (arrived)"
"847","verb","висеть","hang (to be suspended)"
"848","noun","граница","border"
"849","noun","цвет","color"
"850","adj.","серьёзный","serious"
"851","verb","создать","create (once)"
"852","adv.","интересно","interestingly"
"853","adj.","интересный","interesting"
"854","noun","свобода","freedom"
"855","","зато","but (in return)"
"856","noun","стул","chair"
"857","verb","уехать","leave by vehicle"
"858","noun","поезд","train"
"859","noun","музыка","music"
"860","noun","тень","shadow"
"861","noun","лошадь","horse"
"862","noun","поле","field"
"863","verb","выглядеть","look (to appear)"
"864","verb","учиться","study (ongoing)"
"865","adj.","левый","left"
"866","verb","разговаривать","talk (ongoing)"
"867","adj.","детский","children's"
"868","noun","тип","type"
"869","noun","суд","court"
"870","adj.","связанный","connected"
"871","adj.","горячий","hot (high temperature)"
"872","noun","площадь","square"
"873","verb","помогать","help (repeated assistance)"
"874","adj.","счастливый","happy"
"875","verb","повернуться","turn oneself"
"876","verb","позволить","allow (allow once)"
"877","verb","встретить","meet (someone)"
"878","noun","радость","joy"
"879","adj.","острый","sharp (pointed)"
"880","noun","возраст","age"
"881","noun","орган","organ"
"882","noun","карта","map"
"883","verb","входить","enter (regularly)"
"884","verb","обнаружить","discover"
"885","noun","король","king"
"886","noun","слава","fame"
"887","noun","полковник","colonel"
"888","adj.","мелкий","small (fine)"
"889","noun","бок","side (lateral)"
"890","noun","цена","price"
"891","noun","информация","information"
"892","noun","мозг","brain"
"893","noun","удовольствие","pleasure"
"894","noun","воля","will"
"895","noun","область","region"
"896","noun","крыша","roof"
"897","verb","нести","carry (heavy load)"
"898","adv.","обратно","back (in return)"
"899","adj.","современный","modern"
"900","noun","дама","lady"
"901","num.","семь","seven"
"902","adv.","весело","fun"
"903","adj.","веселый","cheerful"
"904","verb","прислать","send over here"
"905","noun","сад","garden"
"906","noun","правительство","government"
"907","adj.","милый","cute"
"908","verb","относиться","relate"
"909","verb","возникать","arise (ongoing process)"
"910","","мол","like (well)"
"911","verb","повторить","repeat (once)"
"912","noun","название","name (title)"
"913","adj.","средний","medium"
"914","noun","пример","example"
"915","adv.","невозможно","impossible"
"916","noun","зеркало","mirror"
"917","verb","погибнуть","die (perish)"
"918","adj.","американский","American"
"919","noun","дым","smoke"
"920","verb","гореть","burn (continuous)"
"921","verb","плакать","cry (general)"
"922","adv.","весьма","quite (very)"
"923","noun","факт","fact"
"924","verb","двигаться","move gradually"
