"no","part_of_speech","definition","answer"
"216","verb","расходиться","diverge"
"217","adj.","обязательный","mandatory"
"218","adv.","пристально","intently"
"219","verb","задумать","conceive"
"220","noun","набор","set"
"221","noun","злоба","malice"
"222","noun","Одесса","Odessa"
"223","noun","таблетка","pill"
"224","adj.","молочный","milky"
"225","verb","уволить","dismiss"
"226","verb","поискать","search (one-time)"
"227","noun","разбойник","robber"
"228","noun","быт","existence (everyday life)"
"229","verb","объясняться","explain oneself"
"230","noun","фигурка","figure (small"
"231","verb","отбросить","discard"
"232","noun","чистота","cleanliness"
"233","verb","храниться","be stored"
"234","adj.","образованный","educated"
"235","noun","танцор","dancer"
"236","noun","копыто","hoof"
"237","noun","утверждение","assertion"
"238","adj.","денежный","monetary"
"239","noun","конкурс","competition"
"240","noun","толчок","thrust"
"241","verb","увести","lead away (general direction)"
"242","verb","сводить","take (somewhere, ongoing)"
"243","noun","берёза","birch tree"
"244","verb","приобретать","acquire (ongoing action)"
"245","verb","удалиться","retire from place"
"246","noun","батюшка","priest (Orthodox priests)"
"247","verb","вспыхивать","flare up (recurring)"
"248","adv.","благополучно","successfully"
"249","noun","змей","serpent"
"250","adj.","тощий","skinny"
"251","verb","нахмуриться","frown (sudden action)"
"252","adj.","доступный","accessible"
"253","noun","салон","salon"
"254","verb","наливать","pour (keep filling)"
"255","noun","бак","tank (container)"
"256","noun","сантиметр","centimeter"
"257","noun","секретарша","secretary (female)"
"258","adj.","прошедший","past (elapsed)"
"259","noun","печаль","sadness"
"260","verb","подтверждать","confirm (repeated)"
"261","noun","грамм","gram"
"262","noun","пропасть","abyss"
"263","noun","пилот","pilot (more universal term)"
"264","verb","привлекать","attract (ongoing action)"
"265","noun","брюхо","belly"
"266","noun","семя","seed"
"267","adj.","трезвый","sober"
"268","noun","полоска","stripe (small)"
"269","noun","рабочий","worker (worker, laborer)"
"270","verb","залезть","climb (completed action)"
"271","noun","предположение","assumption"
"272","noun","капитализм","capitalism"
"273","adv.","пусто","empty"
"274","verb","умолять","beg"
"275","verb","поднести","bring closer"
"276","noun","покупатель","buyer"
"277","verb","пожить","live (temporarily)"
"278","adv.","неважно","doesn't matter"
"279","verb","выкинуть","discard (once)"
"280","verb","выводить","deduce"
"281","verb","податься","surrender (yield)"
"282","verb","чистить","clean (specific item)"
"283","noun","телега","carriage"
"284","noun","градус","degree (as in temperature)"
"285","adj.","сверкающий","sparkling"
"286","verb","преследовать","pursue"
"287","noun","осложнение","complication"
"288","adv.","вдали","far away"
"289","adj.","пёстрый","vividly colorful"
"290","adj.","справедливый","fair"
"291","verb","откликнуться","respond (repeatedly)"
"292","adj.","чёткий","clear (definite)"
"293","noun","комар","mosquito"
"294","verb","пошутить","joke (one-time)"
"295","adj.","военно-","military (related to war)"
"296","verb","проживать","live (reside)"
"297","verb","выложить","post"
"298","noun","флаг","flag (flag, ensign)"
"299","noun","кастрюля","pot"
"300","adj.","скучный","dull (boring)"
"301","noun","известие","news (report)"
"302","adv.","терпеливо","patiently"
"303","noun","всадник","rider"
"304","verb","забраться","climb (struggle)"
"305","verb","упираться","resist (continuous)"
"306","verb","узнавать","recognize"
"307","verb","постоять","stand (stand for a while)"
"308","adv.","вправду","really (in truth)"
"309","noun","мостовая","pavement"
"310","num.","миллиард","billion"
"311","adv.","влево","to the left (turn left)"
"312","verb","взлететь","take off"
"313","noun","испуг","fright"
"314","num.","восемнадцать","eighteen"
"315","noun","заросль","overgrowth"
"316","noun","барьер","barrier"
"317","noun","дырка","hole (small hole)"
"318","noun","матушка","mother (affectionate term)"
"319","verb","проиграть","lose (a game)"
"320","verb","поморщиться","frown (expressing discomfort)"
"321","adj.","смутный","vague"
"322","adv.","насквозь","through"
"323","adv.","целиком","entirely"
"324","adj.","атомный","atomic"
"325","noun","бытие","existence (philosophical term)"
"326","verb","размахивать","wave (wave about)"
"327","noun","икра","caviar"
"328","noun","историк","historian"
"329","verb","водиться","exist (specific, less formal)"
"330","verb","подчиняться","submit"
"331","noun","коза","goat (female)"
"332","noun","дымок","wisp"
"333","noun","визг","scream (screech)"
"334","noun","офис","office (modern usage)"
"335","adv.","бесшумно","silently (noiseless)"
"336","adj.","знающий","knowledgeable"
"337","adj.","босой","barefoot"
"338","adj.","предстоящий","upcoming"
"339","noun","повар","cook"
"340","verb","спрыгнуть","jump off"
"341","adj.","здоровенный","huge (massive)"
"342","verb","переносить","transfer (ongoing)"
"343","noun","касса","cash register"
"344","adv.","независимо","regardless"
"345","adj.","независимый","independent (free)"
"346","verb","презирать","despise"
"347","verb","зарасти","overgrow"
"348","adj.","тяжкий","heavy (severe)"
"349","verb","опускать","lower (continuously)"
"350","adj.","изящный","elegant"
"351","verb","переехать","move (residence)"
"352","noun","скатерть","tablecloth"
"353","noun","негодяй","scoundrel (more offensive)"
"354","verb","убегать","run away (keep running away)"
"355","adj.","украинский","Ukrainian"
"356","noun","кампания","campaign"
"357","noun","графа","countess"
"358","adj.","армейский","military (army's)"
"359","verb","прислушаться","listen carefully"
"360","verb","освободиться","free oneself"
"361","adj.","преступный","criminal (wrongdoing)"
"362","adj.","уличный","street"
"363","noun","крыса","rat"
"364","verb","расспрашивать","inquire (repeatedly)"
"365","verb","толкать","push (ongoing)"
"366","adv.","отчаянно","desperately"
"367","verb","издать","emit"
"368","verb","схватиться","grab (grab hold)"
"369","verb","кружиться","whirl (ongoing)"
"370","noun","освобождение","liberation"
"371","verb","поползти","begins to crawl"
"372","adj.","бетонный","concrete"
"373","noun","прогноз","forecast"
"374","noun","съёмка","shooting (filming)"
"375","verb","спохватиться","suddenly realize"
"376","noun","икона","icon"
"377","verb","похоронить","bury (respectful)"
"378","verb","сжимать","squeeze (ongoing)"
"379","noun","местность","territory (area)"
"380","adj.","драгоценный","precious"
"381","verb","нарастать","increase (gradually)"
"382","adj.","чеченский","Chechen"
"383","","изнутри","from the inside"
"384","verb","оборвать","break off"
"385","noun","провал","failure (complete)"
"386","verb","добавлять","keep adding"
"387","adv.","шумно","loudly (noisy)"
"388","adj.","шумный","noisy"
"389","noun","малость","bit"
"390","verb","выглянуть","peek (once)"
"391","verb","гонять","chase"
"392","noun","негр","negro"
"393","adj.","вонючий","stinky"
"394","verb","поспешить","hurry (one-time)"
"395","adj.","молоденький","young (newly young)"
"396","","стоп","stop"
"397","noun","дровосек","lumberjack"
"398","adv.","упорно","persistently"
"399","verb","пробежать","run through"
"400","adj.","снисходительный","condescending"
"401","adj.","невыносимый","intolerable"
"402","noun","удовлетворение","satisfaction"
"403","verb","засунуть","tuck in"
"404","verb","рассердиться","get angry (suddenly)"
"405","noun","ритм","rhythm"
"406","verb","сдерживать","restrain"
"407","verb","подбежать","run up (one-time)"
"408","adv.","вплоть","up to"
"409","noun","прелесть","charm"
"410","verb","спрятаться","hide oneself (completed)"
"411","adj.","бурый","light brown"
"412","noun","введение","introduction"
"413","noun","голубок","pigeon"
"414","noun","мороженое","ice cream"
"415","adj.","бессмысленный","nonsensical"
"416","noun","презрение","contempt"
"417","noun","округ","district (administrative)"
"418","noun","медсестра","nurse"
"419","noun","переводчик","translator"
"420","verb","складываться","add up"
"421","adv.","дружно","unitedly"
"422","verb","разводить","breed"
"423","adj.","уютный","cozy"
"424","noun","японец","Japanese (person)"
"425","verb","повторяться","repeat (reiterate)"
"426","noun","мелодия","melody"
"427","noun","вал","shaft"
"428","verb","трудиться","toil, work hard"
"429","noun","формирование","formation"
"430","verb","одеться","get dressed (completed action)"
"431","verb","преодолеть","overcome"
"432","noun","Канада","Canada"
"433","adv.","впрямь","really (indeed)"
"434","adj.","подводный","underwater"
"435","noun","горшок","pot (smaller"
"436","verb","определяться","be determined"
"437","noun","грань","edge (more figurative)"
"438","verb","назначать","appoint (ongoing process)"
"439","noun","курица","chicken"
"440","verb","качаться","sway (one-time)"
"441","noun","прозвище","nickname"
"442","noun","темп","pace"
"443","adj.","информационный","informational"
"444","noun","посадка","landing"
"445","verb","потерпеть","endure, experience"
"446","noun","обрыв","precipice"
"447","noun","нитка","thread"
"448","noun","плакат","poster"
"449","noun","банда","gang"
"450","verb","вырезать","cut out"
"451","verb","скучать","miss (person)"
"452","verb","избежать","avoid (completed action)"
"453","noun","инфекция","infection"
"454","noun","убеждение","conviction"
"455","noun","плоть","flesh"
"456","adj.","деловитый","businesslike"
"457","verb","кидать","throw casually"
"458","noun","стая","flock"
"459","adj.","немалый","considerable"
"460","noun","уничтожение","destruction"
"461","adv.","успешно","smoothly (successful)"
"462","noun","обочина","verge"
"463","adv.","жадно","greedily"
"464","noun","усадьба","mansion (estate, manor)"
"465","noun","худо","badly"
"466","verb","даваться","be given"
"467","noun","траншея","trench (military)"
"468","verb","затянуться","drag on"
"469","noun","табуретка","stool"
"470","verb","задрать","lift (lift high)"
"471","adj.","объективный","objective"
"472","verb","сбегать","run away (run off)"
"473","noun","пепел","ashes"
"474","verb","болтаться","dangle"
"475","noun","пробка","cork"
"476","verb","связывать","tie (tie regularly)"
"477","noun","РФ","Russia (official abbreviation)"
"478","verb","изучить","learn (thoroughly)"
"479","noun","проведение","conducting"
"480","adj.","порядочный","decent, honest"
"481","noun","провинция","province"
"482","verb","уступать","yield, give way"
"483","noun","прощение","forgiveness"
"484","noun","порция","portion"
"485","adj.","театральный","theatrical"
"486","adj.","отдаленный","distant (remote)"
"487","verb","потребоваться","be required (sudden need)"
"488","noun","хохот","laughter (loud)"
"489","noun","сорт","sort"
"490","adj.","производственный","production-related"
"491","adv.","вплотную","closely"
"492","adj.","идеологический","ideological"
"493","adv.","сравнительно","comparatively"
"494","verb","питаться","feed (oneself)"
"495","noun","командующий","commander (superior officer)"
"496","adj.","командующий","commanding"
"497","adj.","людской","human (personal)"
"498","verb","угрожать","threaten (ongoing)"
"499","noun","рассуждение","discourse"
"500","noun","фонарик","flashlight"
"501","noun","дрянь","junk"
"502","noun","понедельник","Monday"
"503","noun","райком","district committee"
"504","noun","мундир","uniform (military)"
"505","verb","пребывать","stay (ongoing)"
"506","verb","подавить","suppress (once)"
"507","noun","Польша","Poland"
"508","verb","плясать","dance (joyfully)"
"509","adv.","удобно","comfortably"
"510","verb","заявлять","declare (continuously)"
"511","noun","висок","temple (of the head)"
"512","noun","падаль","carrion"
"513","verb","уговорить","persuade (once)"
"514","noun","глина","clay"
"515","noun","почка","kidney"
"516","noun","профессионал","professional"
"517","noun","катер","motorboat"
"518","adv.","недостаточно","insufficiently"
"519","noun","шарик","ball (small)"
"520","noun","конфета","candy"
"521","verb","сажать","plant (repeatedly)"
"522","noun","виски","whiskey"
"523","verb","поплыть","swim (start swimming)"
"524","verb","делить","divide (ongoing action)"
"525","noun","сетка","net"
"526","noun","бассейн","pool"
"527","noun","заря","dawn (daybreak, twilight)"
"528","adj.","студенческий","student"
"529","adj.","налоговый","tax"
"530","noun","метод","method (method, technique)"
"531","noun","человечек","little man"
"532","verb","призывать","call for"
"533","noun","протяжение","extension"
"534","verb","дымиться","smoke (continuously)"
"535","adj.","королевский","royal (king's)"
"536","noun","матка","womb"
"537","noun","инстинкт","instinct"
"538","verb","поздороваться","greet (informal)"
"539","noun","красавец","beau"
"540","noun","минутка","moment (colloquial)"
"541","noun","правитель","ruler (governmental)"
"542","verb","обнимать","hug (repeatedly)"
"543","adv.","пополам","in half"
"544","verb","угодить","please"
"545","noun","пяток","heel (of a foot)"
"546","noun","изучение","study (act of studying)"
"547","verb","кататься","ride"
"548","adj.","сомнительный","doubtful"
"549","noun","пехота","infantry"
"550","adj.","районный","district"
"551","verb","выразиться","express one's thoughts"
"552","verb","натянуть","tighten"
"553","verb","лишить","deprive"
"554","verb","удерживать","hold back (someone else)"
"555","noun","заряд","charge"
"556","noun","ребро","rib"
"557","noun","сустав","joint"
"558","verb","привыкать","get used to (process)"
"559","noun","хребет","spine"
"560","adj.","багровый","bright red, crimson"
"561","noun","пластинка","record (vinyl)"
"562","verb","потрясать","shake (continuously)"
"563","noun","мотив","motive"
"564","adj.","дневной","daily"
"565","verb","рвануться","rush abruptly"
"566","verb","воспитывать","educate"
"567","noun","заслуга","merit (achievement)"
"568","noun","возбуждение","excitement (stimulation)"
"569","verb","съездить","go (for a short trip)"
"570","verb","свалить","push over"
"571","adj.","газетный","newspaper"
"572","adj.","биологический","biological"
"573","noun","малый","small"
"574","adj.","смуглый","tan"
"575","noun","обломок","fragment (bigger)"
"576","adj.","крестьянский","peasant"
"577","noun","будка","booth"
"578","adj.","указанный","specified"
"579","noun","кустарник","shrub"
"580","verb","застрять","get stuck"
"581","noun","диплом","diploma"
"582","verb","обходиться","get by"
"583","adj.","фальшивый","fake"
"584","noun","пена","foam"
"585","verb","скользить","slide"
"586","verb","пробираться","penetrate (make way)"
"587","verb","вертеться","whirl (one-time)"
"588","verb","кипеть","boil"
"589","verb","поручить","assign"
"590","verb","убеждать","convince (ongoing action)"
"591","noun","восстановление","recovery"
"592","adv.","ничуть","not at all"
"593","verb","злиться","get angry (colloquially)"
"594","noun","молитва","prayer"
"595","adv.","попросту","simply (plainly)"
"596","adj.","коммерческий","business-related"
"597","noun","отвращение","disgust"
"598","verb","уступить","give way"
"599","verb","избегать","avoid (continuous action)"
"600","adv.","издалека","from afar"
"601","verb","тронуться","start moving"
"602","noun","вооружение","armament"
"603","verb","твориться","transpire (colloquial)"
"604","adj.","склонный","inclined"
"605","noun","пазуха","armpit"
"606","noun","религия","religion"
"607","adv.","недаром","not for nothing"
"608","verb","пригодиться","come in handy"
"609","adj.","существенный","significant (essential)"
"610","verb","сопротивляться","resist (once)"
"611","verb","скакать","jump (hop)"
"612","noun","кличка","name (nickname)"
"613","adj.","офицерский","officer"
"614","noun","указ","directive"
"615","verb","проглотить","swallow"
"616","noun","прилавок","counter (in a shop)"
"617","adj.","отвратительный","repulsive"
"618","verb","осматривать","inspect (quickly)"
"619","verb","запустить","launch"
"620","noun","местечко","village (small place)"
"621","verb","поделиться","share (once)"
"622","noun","обещание","promise"
"623","verb","вестись","be found (process)"
"624","noun","веранда","veranda"
"625","noun","стон","groan"
"626","noun","равновесие","equilibrium"
"627","noun","скука","boredom"
"628","verb","прорваться","burst through"
"629","verb","отставать","fall behind (ongoing process)"
"630","num.","пятьсот","five hundred"
"631","verb","отмечаться","be marked"
"632","noun","торжество","celebration"
"633","noun","прокуратура","prosecutor's office"
"634","verb","проникать","penetrate (enter)"
"635","noun","чудак","oddball"
"636","adj.","неизбежный","inevitable"
"637","noun","видимость","visibility"
"638","noun","паренек","lad (young man, colloquial)"
"639","verb","погрузить","immerse"
"640","noun","семейство","family (biological)"
"641","noun","царство","kingdom"
"642","verb","употреблять","consume"
"643","verb","вскричать","shout in surprise"
"644","noun","устав","statute"
"645","noun","погон","shoulder strap"
"646","noun","мудрость","wisdom"
"647","verb","высунуться","stick out (once)"
"648","noun","фонтан","fountain"
"649","noun","битва","battle"
"650","noun","жилец","resident (of a rented place)"
"651","verb","наткнуться","stumble upon"
"652","noun","горечь","bitterness"
"653","verb","трещать","crack"
"654","noun","паника","panic"
"655","noun","возникновение","emergence"
"656","verb","мыть","wash"
"657","verb","смутиться","become confused"
"658","adj.","удачный","successful"
"659","verb","печатать","print (repeatedly)"
"660","adj.","сексуальный","sexual (erotic)"
"661","adv.","насмешливо","mockingly"
"662","noun","публикация","publication"
"663","verb","демонстрировать","demonstrate"
"664","adj.","римский","Roman"
"665","verb","оправдать","justify"
"666","noun","расследование","investigation (research)"
"667","noun","оборудование","equipment"
"668","adj.","вредный","harmful"
"669","noun","пульт","remote control"
"670","verb","прихватить","grab (grab along)"
"671","noun","язва","ulcer"
"672","noun","рок","fate (destiny)"
"673","verb","распространить","spread"
"674","","ишь","look"
"675","adj.","сытый","satisfied (full or well-fed)"
"676","verb","разбирать","analyze"
"677","noun","груша","pear"
"678","verb","переглянуться","glance at each other"
"679","adj.","старенький","oldish"
"680","noun","гроза","storm (thunderstorm)"
"681","noun","кислород","oxygen"
"682","noun","шахта","mine (coal)"
"683","adj.","прохладный","cool"
"684","verb","протекать","leak"
"685","noun","удав","python"
"686","noun","выпуск","release"
"687","noun","хирург","surgeon"
"688","adj.","брезгливый","disgusted"
"689","verb","объединить","unite"
"690","noun","символ","symbol"
"691","adj.","хозяйственный","household"
"692","noun","магия","magic"
"693","verb","убирать","clean (clean up)"
"694","verb","расставаться","part ways"
"695","verb","прибежать","run up (repeatedly)"
"696","noun","развод","divorce"
"697","adj.","звонкий","ringing"
"698","adj.","звёздный","star"
"699","noun","неправда","lie (untruth)"
"700","noun","перестройка","restructuring"
"701","adj.","стратегический","strategic"
"702","adj.","непривычный","unfamiliar (unaccustomed)"
"703","verb","просидеть","sit through"
"704","noun","заведующий","head (manager)"
"705","verb","творить","create, art"
"706","verb","мерцать","flicker (weak, unstable)"
"707","noun","инициатива","initiative"
"708","noun","КПСС","CPSU"
"709","adj.","индивидуальный","individual"
"710","noun","единица","unit"
"711","adj.","трагический","tragic"
"712","adj.","излишний","excessive"
"713","verb","загнать","drive in"
"714","verb","подчеркивать","emphasize"
"715","noun","регион","region (official term)"
"716","noun","защитник","defender"
"717","adj.","немой","mute"
"718","verb","напасть","attack"
"719","noun","сектор","sector"
"720","noun","санитар","sanitary"
"721","noun","ссылка","reference (web link)"
"722","noun","госпожа","lady (Madam)"
"723","adj.","механический","mechanical (machines)"
"724","noun","роща","grove"
"725","verb","нагнуться","bend over"
"726","verb","предназначить","designate"
"727","noun","грек","Greek"
"728","noun","усмешка","sneer"
"729","verb","дружить","be friends"
"730","adj.","уникальный","unique"
"731","noun","восприятие","perception"
"732","noun","потомок","descendant"
"733","noun","номенклатура","nomenclature"
"734","noun","тропа","footpath"
"735","adj.","почтительный","respectful"
"736","noun","казнь","execution (capital punishment)"
"737","adj.","судебный","judicial"
"738","noun","сало","bacon"
"739","adv.","мучительно","painfully"
"740","adj.","мучительный","agonizing"
"741","noun","сочувствие","sympathy"
"742","noun","ветерок","breeze"
"743","verb","распорядиться","manage arrangements"
"744","adv.","живо","vividly"
"745","verb","цепляться","cling (continuous action)"
"746","verb","увеличиваться","increase (rapidly)"
"747","noun","Питер","St. Petersburg"
"748","noun","светило","luminary"
"749","adj.","подробный","detailed"
"750","noun","мёд","honey"
"751","noun","восхищение","admiration"
"752","verb","выдумать","invent"
"753","noun","мисс","miss"
"754","noun","Кавказ","Caucasus"
"755","noun","ноздря","nostril"
"756","noun","сочетание","combination"
"757","adv.","наполовину","halfway"
"758","verb","отправлять","be dispatching"
"759","adj.","прочный","durable"
"760","verb","ворваться","burst in"
"761","adj.","магический","magical (related to magic)"
"762","verb","выпивать","drink (repeatedly)"
"763","noun","нагрузка","load"
"764","noun","группировка","formation (military)"
"765","noun","перец","pepper"
"766","adj.","правительственный","governmental"
"767","noun","дрожь","tremor"
"768","noun","обсуждение","discussion"
"769","verb","ползать","crawl around"
"770","adj.","ручной","hand"
"771","noun","постановление","resolution"
"772","num.","семнадцать","seventeen"
"773","verb","вытянуться","stretch out"
"774","noun","заметка","note (notebook entry)"
"775","noun","принцесса","princess"
"776","verb","посещать","visit regularly"
"777","noun","самоубийство","suicide"
"778","verb","отодвинуть","move aside"
"779","verb","раздавить","crush"
"780","noun","нежность","tenderness"
"781","adj.","тоненький","slender (thin)"
"782","noun","сейф","safe"
"783","noun","миф","myth"
"784","num.","пятеро","five (people)"
"785","verb","объявлять","announce (ongoing action)"
"786","adv.","противно","disgusting"
"787","noun","правление","governance"
"788","adj.","выдающийся","outstanding"
"789","noun","валюта","currency"
"790","verb","разработать","develop (completed action)"
"791","verb","рассыпаться","fall apart"
"792","noun","блин","pancake"
"793","noun","выезд","departure (exit by vehicle)"
"794","adv.","туго","tightly (tight)"
"795","noun","складка","wrinkle"
"796","adj.","шёлковый","silky"
"797","noun","предатель","traitor"
"798","noun","купец","merchant (merchant, trader)"
"799","verb","удаляться","move away (ongoing)"
"800","noun","психика","psychic"
"801","noun","живопись","painting (art form)"
"802","noun","кровотечение","hemorrhage"
"803","verb","ворчать","grumble"
"804","noun","демократ","democrat"
"805","verb","откинуть","toss aside"
"806","noun","трещина","crack"
"807","noun","мораль","morality"
"808","verb","распахнуться","swing open"
"809","verb","помниться","be remembered"
"810","noun","факультет","faculty"
"811","verb","поражать","impress (repeatedly)"
"812","noun","аллея","avenue"
"813","verb","настать","arrive (arrive metaphorically)"
"814","noun","поляна","glade"
"815","noun","валенок","felt boot"
"816","adj.","угрюмый","moody"
