"id","part_of_speech","definition","answer"
"83","verb","seem","parecer"
"84","noun","the sir","o senhor"
"85","pron.","you all","vocês"
"86","verb","stay","ficar"
"87","adj.","precise","preciso"
"88","adv.","there (in that place)","aí"
"89","adv.","clearly","claro"
"90","noun","the truth","a verdade"
"91","verb","give","dar"
"92","pron.","this (near the listener)","esse"
"93","adv.","before","antes"
"94","pron.","no one","ninguém"
"95","noun","the type","o tipo"
"96","adv.","there (over there)","la"
"97","noun","the work or job","o trabalho"
"98","adj.","big","grande"
"99","prep.","with me","comigo"
"100","adv.","only, just","apenas"
"101","verb","wait","esperar"
"102","adj.","little","pouco"
"103","noun","the money","o dinheiro"
"104","pron.","which","qual"
"105","adj.","any","qualquer"
"106","conj.","because","pois"
"107","adv.","outside","fora"
"108","noun","the shit","a merda"
"109","verb","must","dever"
"110","adv.","from here","daqui"
"111","adv.","here (nearby)","cá"
"112","noun","the son","o filho"
"113","noun","the today","o hoje"
"114","noun","the woman","a mulher"
"115","adj.","all","todo"
"116","noun","the name","o nome"
"117","adj.","other","outro"
"118","verb","exit","sair"
"119","adj.","serious","sério"
"120","noun","the world","o mundo"
"121","adj.","how much","quanto"
"122","noun","the certainty","a certeza"
"123","adv.","badly","mal"
"124","noun","the male friend","o amigo"
"125","verb","go back","voltar"
"126","noun","the passenger vehicle","o carro"
"127","verb","pass","passar"
"128","conj.","although","embora"
"129","adj.","new","novo"
"130","verb","happen","acontecer"
"131","verb","let","deixar"
"132","noun","the problem","o problema"
"133","adv.","less","menos"
"134","verb","come","vir"
"135","noun","the place","o lugar"
"136","pron.","with himself/herself/itself","consigo"
"137","adv.","inside","dentro"
"138","verb","think","pensar"
"139","noun","the side","o lado"
"140","pron.","with you","contigo"
"141","verb","try","tentar"
"142","noun","the part","a parte"
"143","noun","the guy","o cara"
"144","adv.","there","ali"
"145","adj.","some","algum"
"146","noun","the hour","a hora"
"147","noun","the reason why","o porquê"
"148","verb","walk","andar"
"149","verb","help","ajudar"
"150","adj.","that","aquele"
"151","verb","feel","sentir"
"152","verb","kill","matar"
"153","noun","the people","a gente"
"154","noun","the taste or preference","o gosto"
"155","noun","the reason for","a razão"
"156","adv.","behind","atrás"
"157","noun","the head","a cabeça"
"158","noun","the love","o amor"
"159","adj.","ready","pronto"
"160","noun","the family","a família"
"161","prep.","between","entre"
"162","noun","the assistance","a ajuda"
"163","noun","the front","a frente"
"164","adj.","such","tal"
"165","noun","the police","a polícia"
"166","noun","the idea","a ideia"
"167","noun","the afternoon","a tarde"
"168","noun","the door","a porta"
"169","verb","hear","ouvir"
"170","verb","need","precisar"
"171","verb","find precisely","encontrar"
"172","adj.","none","nenhum"
"173","noun","the moment","o momento"
"174","pron.","that (far)","aquilo"
"175","noun","the city","a cidade"
"176","noun","the above","a cima"
"177","prep.","since","desde"
"178","noun","the person","a pessoa"
"179","verb","enter","entrar"
"180","verb","die","morrer"
"181","noun","the case","o caso"
"182","verb","arrive","chegar"
"183","adv.","so much","tanto"
"184","adj.","dead","morto"
"185","verb","take (transport)","levar"
"186","noun","the tomorrow","o amanhã"
"187","noun","the form","a forma"
"188","adv.","almost","quase"
"189","noun","the fear","o medo"
"190","pron.","to them","lhes"
"191","noun","the history","a história"
"192","noun","the account","a conta"
"193","prep.","against","contra"
"194","noun","the sibling","o irmão"
"195","noun","the weapon","a arma"
"196","noun","the path","o caminho"
"197","noun","the death","a morte"
"198","noun","the luck","a sorte"
"199","conj.","while","enquanto"
"200","noun","the care","o cuidado"
"201","adj.","each","cada"
"202","noun","the week","a semana"
"203","adj.","joyful","feliz"
"204","verb","work","trabalhar"
"205","noun","the manner/style","a maneira"
"206","noun","the year","o ano"
"207","noun","the boy (used in Portugal)","o rapaz"
"208","prep.","during","durante"
"209","verb","finish","acabar"
"210","adj.","personal","pessoal"
"211","verb","stop","parar"
"212","noun","the room","o quarto"
"213","adj.","this","este"
"214","noun","the blood","o sangue"
"215","noun","the end","o fim"
"216","noun","the cause","a causa"
"217","noun","the middle","o meio"
"218","noun","the daughter","a filha"
"219","noun","the water","a água"
"220","noun","the lament","o lamento"
"221","adv.","near","perto"
"222","noun","the game","o jogo"
"223","adj.","important","importante"
"224","adv.","soon","logo"
"225","noun","the chief","o chefe"
"226","noun","the lady (of respect)","a senhora"
"227","verb","believe in","acreditar"
"228","noun","the calm","a calma"
"229","adj.","dear","querido"
"230","noun","the earth","a terra"
"231","noun","the war","a guerra"
"232","adj.","fast","rápido"
"233","adv.","really","realmente"
"234","verb","tell","contar"
"235","verb","love","amar"
"236","noun","the hand","a mão"
"237","adj.","low","baixo"
"238","adj.","difficult","difícil"
"239","verb","start","começar"
"240","verb","eat","comer"
"241","noun","the captain","o capitão"
"242","noun","the body","o corpo"
"243","verb","matter","importar"
"244","noun","the number","o número"
"245","verb","use","usar"
"246","adj.","bigger","maior"
"247","adj.","second","segundo"
"248","verb","mean","significar"
"249","noun","the educational institution","a escola"
"250","verb","sleep","dormir"
"251","noun","the security","a segurança"
"252","noun","the heart","o coração"
"253","noun","the ray","o raio"
"254","verb","search/look for","buscar"
"255","noun","the president","o presidente"
"256","noun","the agent","a agente"
"257","adj.","small-sized","pequeno"
"258","noun","the unintelligent person","o idiota"
"259","verb","take off","tirar"
"260","noun","the force","a força"
"261","noun","the yesterday","o ontem"
"262","noun","the pleasure","o prazer"
"263","verb","search","procurar"
"264","verb","live","viver"
"265","adj.","bad","mau"
"266","noun","the state","o estado"
"267","noun","the month","o mês"
"268","noun","the flame","a chama"
"269","noun","the party","a festa"
"270","verb","request","pedir"
"271","verb","know","conhecer"
"272","noun","the young individual","a criança"
"273","noun","the young girl","a rapariga"
"274","verb","lose","perder"
"275","noun","the question","a pergunta"
"276","noun","the husband","o marido"
"277","noun","the height","a altura"
"278","verb","look","olhar"
"279","adj.","elderly","velho"
"280","prep.","behind","trás"
"281","noun","the telephone","o telefone"
"282","adj.","possible","possível"
"283","adv.","quickly","depressa"
"284","pron.","they (feminine)","elas"
"285","verb","take (consume)","tomar"
"286","noun","the feather","a pena"
"287","verb","like","gostar"
"288","adj.","alive","vivo"
"289","adv.","far","longe"
"290","noun","the agreement","o acordo"
"291","adv.","excessively","demais"
"292","adj.","wrong","errado"
"293","verb","achieve","conseguir"
"294","adj.","strange","estranho"
"295","adj.","easy","fácil"
"296","pron.","these (feminine)","essas"
"297","verb","play (as in playing with toys)","brincar"
"298","noun","the license","a licença"
"299","adj.","enough","suficiente"
"300","verb","change","mudar"
"301","noun","the past","o passado"
"302","noun","the plan","o plano"
"303","noun","the fire or flame","o fogo"
"304","noun","the book","o livro"
"305","pron.","these (masculine)","esses"
"306","noun","the sister","a irmã"
"307","noun","the lack","a falta"
"308","noun","the dinner","o jantar"
"309","noun","the king","o rei"
"310","noun","the bed","a cama"
"311","adv.","alone","sozinho"
"312","verb","adore","adorar"
"313","noun","the peace","a paz"
"314","adv.","beyond","além"
"315","verb","put","pôr"
"316","noun","the word","a palavra"
"317","noun","the living room","a sala"
"318","verb","pay","pagar"
"319","verb","follow","seguir"
"320","noun","the attention","a atenção"
"321","noun","the food","a comida"
"322","noun","the air","o ar"
"323","noun","the guilt","a culpa"
"324","verb","make a call","ligar"
"325","adv.","quite/a lot","bastante"
"326","verb","continue","continuar"
"327","verb","run","correr"
"328","noun","the mouth","a boca"
"329","noun","the light","a luz"
"330","adj.","unique","único"
"331","noun","the little girl","a menina"
"332","noun","the wedding","o casamento"
"333","noun","the medical professional","o médico"
"334","adj.","own","próprio"
"335","noun","the minute","o minuto"
"336","noun","the special","o especial"
"337","verb","summon","chamar"
"338","verb","recall","lembrar"
"339","adj.","strong","forte"
"340","verb","ask","perguntar"
"341","verb","show","mostrar"
"342","noun","the film","o filme"
"343","adv.","even","sequer"
"344","adv.","probably","provavelmente"
"345","noun","the country","o país"
"346","verb","be quiet","calar"
"347","noun","the foot","o pé"
"348","verb","depart","partir"
"349","adj.","different","diferente"
"350","adj.","worse","pior"
"351","noun","the street","a rua"
"352","noun","the coffee","o café"
"353","noun","the legal right","o direito"
"354","verb","exist","existir"
"355","noun","the remaining part","o resto"
"356","noun","the hospital","o hospital"
"357","verb","repair or arrange","arranjar"
"358","adv.","therefore","portanto"
"359","verb","uncover","descobrir"
"360","noun","the sex","o sexo"
"361","verb","maintain","manter"
"362","verb","play","jogar"
"363","adv.","too much","demasiado"
"364","noun","the point","o ponto"
"365","noun","the sense","o sentido"
"366","noun","the whore","a puta"
"367","noun","the signal","o sinal"
"368","verb","achieve victory","ganhar"
"369","adj.","safe","seguro"
"370","adj.","last","último"
"371","noun","the system","o sistema"
"372","noun","the prison","a prisão"
"373","noun","the dog","o cão"
"374","noun","the wife","a esposa"
"375","adj.","local","local"
"376","noun","the music","a música"
"377","noun","the site","o sítio"
"378","verb","bring","trazer"
"379","verb","rescue","salvar"
"380","noun","the opportunity","a oportunidade"
"381","noun","the casual meeting","o encontro"
"382","adj.","capable","capaz"
"383","verb","buy","comprar"
"384","noun","the airplane","o avião"
"385","noun","the floor (of a room)","o chão"
"386","noun","the Christmas","o natal"
"387","noun","the Jesus","o Jesus"
"388","noun","the dead","o morto"
"389","adj.","young","jovem"
"390","noun","the business (transactions)","o negócio"
"391","noun","the bath","o banho"
"392","verb","drink","beber"
"393","adj.","free","livre"
"394","adj.","tall","alto"
"395","noun","the situation","a situação"
"396","adj.","small","miúdo"
"397","prep.","under","sob"
"398","pron.","with us","conosco"
"399","verb","treat","tratar"
"400","adv.","early","cedo"
"401","verb","catch","apanhar"
"402","noun","the future","o futuro"
"403","adj.","next","próximo"
"404","verb","comprehend","entender"
"405","noun","the spaceship","a nave"
"406","adj.","final","final"
"407","noun","the will","a vontade"
"408","noun","the hair","o cabelo"
"409","adj.","general","general"
"410","adj.","perfect","perfeito"
"411","noun","the respect","o respeito"
"412","adj.","gorgeous","lindo"
"413","adj.","good-looking","bonito"
"414","noun","the guard","a guarda"
"415","noun","the order (request)","a ordem"
"416","verb","worry","preocupar"
"417","verb","interest","interessar"
"418","noun","the matter","a questão"
"419","noun","the spoken message","a mensagem"
"420","noun","the dude","o gajo"
"421","noun","the news","a notícia"
"422","adj.","crazy idea","louco"
"423","noun","the view","a vista"
"424","noun","the field","o campo"
"425","verb","line","linhar"
"426","noun","the table","a mesa"
"427","adv.","finally","finalmente"
"428","noun","the killer","o assassino"
"429","noun","the drug","a droga"
"430","noun","the job","o emprego"
"431","noun","the female friend","a amiga"
"432","noun","the boat","o barco"
"433","noun","the conversation","a conversa"
"434","adj.","simple","simples"
"435","noun","the mission","a missão"
"436","noun","the trip","a viagem"
"437","noun","the tone","o tom"
"438","noun","the attack","o ataque"
"439","noun","the group or team","o grupo"
"440","adj.","real","real"
"441","adv.","completely","completamente"
"442","adj.","sick","doente"
"443","noun","the bite","o bocado"
"444","verb","open","abrir"
"445","verb","read","ler"
"446","noun","the uncle","o tio"
"447","noun","the doctorate holder","o doutor"
"448","noun","the list","a lista"
"449","noun","the crime","o crime"
"450","adv.","again","novamente"
"451","noun","the call (receiving a call)","a chamada"
"452","noun","the second (female)","a segunda"
"453","adv.","from there","daí"
"454","adj.","normal","normal"
"455","noun","the relationship/connection","a relação"
"456","noun","the way/mode","o modo"
"457","noun","the answer","a resposta"
"458","noun","the sun","o sol"
"459","verb","fight","lutar"
"460","adv.","where to","aonde"
"461","noun","the skirt","a saia"
"462","adj.","idiotic","estúpido"
"463","noun","the sock","a meia"
"464","noun","the subject/topic","o assunto"
"465","noun","the office or workplace","o escritório"
"466","noun","the service","o serviço"
"467","noun","the fact","o facto"
"468","noun","the pain","a dor"
"469","verb","marry","casar"
"470","noun","the army","o exército"
"471","noun","the bottom","o fundo"
"472","verb","flee","fugir"
"473","noun","the accident","o acidente"
"474","noun","the second (male)","o segundo"
"475","noun","the valley","o vale"
"476","adj.","nice","fixe"
"477","noun","the dream","o sonho"
"478","verb","listen","escutar"
"479","pron.","both","ambos"
"480","noun","the grace","a graça"
"481","noun","the dad","o papá"
"482","adj.","imprisoned","preso"
"483","noun","the professor","o professor"
"484","noun","the clothes","a roupa"
"485","noun","the hotel","o hotel"
"486","adj.","true","verdadeiro"
"487","adj.","fantastic","fantástico"
"488","verb","believe","crer"
"489","noun","the space","o espaço"
"490","noun","the age","a idade"
"491","verb","touch","tocar"
"492","noun","the eye","o olho"
"493","noun","the business organization","a companhia"
"494","noun","the method/approach","o jeito"
"495","noun","the choice","a escolha"
"496","noun","the mind","a mente"
"497","noun","the box","a caixa"
"498","noun","the shot or gunshot","o tiro"
"499","noun","the program","o programa"
"500","noun","the left","a esquerda"
"501","adj.","brief","breve"
"502","noun","the voice","a voz"
"503","noun","the key","a chave"
"504","adj.","funny","engraçado"
"505","noun","the devil","o diabo"
"506","noun","the information","a informação"
"507","verb","take hold of","pegar"
"508","noun","the error","o erro"
"509","noun","the girlfriend","a namorada"
"510","noun","the hunger","a fome"
"511","noun","the cable","o cabo"
"512","adj.","incredible","incrível"
"513","noun","the bank","o banco"
"514","noun","the road","a estrada"
"515","prep.","after","após"
"516","noun","the position","a posição"
"517","adj.","excellent","excelente"
"518","verb","swear","jurar"
"519","noun","the store","a loja"
"520","noun","the colonel","o coronel"
"521","verb","promise","prometer"
"522","noun","the general population","o povo"
"523","noun","the present","o presente"
"524","noun","the letter","a carta"
"525","noun","the master","o mestre"
"526","verb","protect","proteger"
"527","verb","explain","explicar"
"528","adj.","light","leve"
"529","adv.","simply","simplesmente"
"530","noun","the government","o governo"
"531","noun","the woodland","a mata"
"532","verb","fall","cair"
"533","noun","the center","o centro"
"534","noun","the proof","a prova"
"535","noun","the called","o chamado"
"536","noun","the sky","o céu"
"537","noun","the appositive","o aposto"
"538","noun","the energy","a energia"
"539","noun","the mommy","a mamã"
"540","noun","the north","o norte"
"541","noun","the destiny","o destino"
"542","adj.","hot","quente"
"543","noun","the translation","a tradução"
"544","noun","the fair","a feira"
"545","verb","talk","conversar"
"546","noun","the lunch","o almoço"
"547","noun","the half","a metade"
"548","noun","the right side","a direita"
"549","verb","send (order)","mandar"
"550","noun","the paper","o papel"
"551","noun","the child","o miúdo"
"552","noun","the league","a liga"
"553","noun","the sexual act","a foda"
"554","noun","the lawyer","o advogado"
"555","verb","become","tornar"
"556","noun","the base","a base"
"557","adv.","immediately","imediatamente"
"558","noun","the law","a lei"
"559","adv.","through","através"
"560","adj.","interesting","interessante"
"561","noun","the planet","o planeta"
"562","noun","the ball","a bola"
"563","adj.","full","cheio"
"564","verb","forget","esquecer"
"565","adj.","impossible","impossível"
"566","noun","the lieutenant","o tenente"
"567","verb","write","escrever"
"568","verb","function","funcionar"
"569","adj.","understood","entendido"
"570","noun","the formal meeting","a reunião"
"571","noun","the fight","a luta"
"572","noun","the exit","a saída"
"573","noun","the scene","a cena"
"574","noun","the hell","o inferno"
"575","verb","perceive","perceber"
"576","noun","the machine","a máquina"
"577","noun","the commander","o comandante"
"578","noun","the camera","a câmara"
"579","noun","the secret","o segredo"
"580","noun","the rule","a regra"
"581","prep.","about","acerca"
"582","verb","hate intensely","odiar"
"583","noun","the bomb","a bomba"
"584","noun","the sergeant","o sargento"
"585","noun","the honor","a honra"
"586","noun","the drink","a bebida"
"587","noun","the bar","o bar"
"588","noun","the south","o sul"
"589","noun","the surprise","a surpresa"
"590","noun","the humorous joke","a piada"
"591","adj.","great","ótimo"
"592","verb","strike","bater"
"593","adj.","fun","divertido"
"594","verb","forgive","desculpar"
"595","noun","the danger","o perigo"
"596","noun","the boyfriend","o namorado"
"597","noun","the step/movement","a passada"
"598","verb","sit","sentar"
"599","verb","lie","mentir"
"600","adj.","cold","frio"
"601","adv.","below","abaixo"
"602","noun","the apartment","o apartamento"
"603","noun","the decision","a decisão"
"604","adv.","underneath","debaixo"
"605","noun","the soul","a alma"
"606","adj.","human","humano"
"607","noun","the dress","o vestido"
"608","adj.","beautiful","belo"
"609","verb","learn","aprender"
"610","verb","control","controlar"
"611","adj.","cool","legal"
"612","noun","the area","a área"
"613","verb","understand","compreender"
"614","noun","the priest","o padre"
"615","noun","the meat","a carne"
"616","noun","the brain","o cérebro"
"617","noun","the hypothesis","a hipótese"
"618","verb","receive","receber"
"619","adj.","horrible","horrível"
"620","noun","the test","o teste"
"621","noun","the birthday","o aniversário"
"622","noun","the beer","a cerveja"
"623","noun","the island","a ilha"
"624","noun","the code","o código"
"625","verb","let go","largar"
"626","verb","dance","dançar"
"627","noun","the young male child","o menino"
"628","verb","trust","confiar"
"629","noun","the freedom","a liberdade"
"630","verb","prepare","preparar"
"631","noun","the help","o socorro"
"632","adj.","white","branco"
"633","adj.","dangerous","perigoso"
"634","noun","the suit","o fato"
"635","adv.","about","cerca"
"636","adj.","happy","contente"
"637","noun","the meter","o metro"
"638","adv.","by chance","acaso"
"639","noun","the church","a igreja"
"640","noun","the sea","o mar"
"641","adj.","damned","maldito"
"642","noun","the animal","o animal"
"643","verb","solve","resolver"
"644","verb","suffice","bastar"
"645","verb","steal","roubar"
"646","verb","lift","levantar"
"647","noun","the command (giving orders)","o comando"
"648","noun","the hope","a esperança"
"649","verb","hide","esconder"
"650","noun","the horse","o cavalo"
"651","verb","sell","vender"
"652","adj.","sad","triste"
"653","noun","the victim","a vítima"
"654","noun","the difference","a diferença"
"655","noun","the window","a janela"
"656","adv.","above","acima"
"657","noun","the majority","a maioria"
"658","verb","place","colocar"
"659","noun","the girl","a garota"
"660","noun","the advice","o conselho"
"661","noun","the target","o alvo"
"662","noun","the human","o humano"
"663","verb","disappear","desaparecer"
"664","noun","the entrance","a entrada"
"665","verb","fuck","foder"
"666","noun","the contact","o contato"
"667","noun","the gold","o ouro"
"668","adj.","black color","negro"
"669","noun","the reason","o motivo"
"670","noun","the queen","a rainha"
"671","adv.","together","junto"
"672","noun","the species","a espécie"
"673","noun","the club","o clube"
"674","noun","the river","o rio"
"675","noun","the hero","o herói"
"676","noun","the reality","a realidade"
"677","noun","the majesty","a majestade"
"678","noun","the health","a saúde"
"679","adv.","totally","totalmente"
"680","verb","put in","meter"
"681","noun","the arm","o braço"
"682","noun","the zone","a zona"
"683","adj.","following","seguinte"
"684","noun","the purpose","o propósito"
"685","noun","the madness","a loucura"
"686","adj.","blue","azul"
"687","adj.","supposed","suposto"
"688","noun","the computer","o computador"
"689","noun","the experience","a experiência"
"690","adj.","impoverished","pobre"
"691","noun","the public","o público"
"692","noun","the tall mountain","o monte"
"693","noun","the grandmother","a avó"
"694","noun","the desire","o desejo"
"695","noun","the level","o nível"
"696","noun","the radio","o rádio"
"697","noun","the leg","a perna"
"698","noun","the piece","a peça"
"699","noun","the bag","o saco"
"700","adj.","red","vermelho"
"701","verb","destroy","destruir"
"702","verb","appear","aparecer"
"703","adv.","slowly","devagar"
"704","noun","the commercial enterprise","a empresa"
"705","noun","the tail","o rabo"
"706","adj.","main","principal"
"707","adj.","awful","terrível"
"708","conj.","otherwise","senão"
"709","noun","the photo","a foto"
"710","noun","the boy (used in Brazil)","o garoto"
"711","adj.","opposite","contrário"
"712","noun","the example","o exemplo"
"713","noun","the doubt","a dúvida"
"714","adj.","American","americano"
"715","adj.","official","oficial"
"716","noun","the skin","a pele"
"717","noun","the operation","a operação"
"718","noun","the television","a televisão"
"719","noun","the color","a cor"
"720","noun","the connection","a ligação"
"721","verb","go up","subir"
"722","noun","the court (of justice)","o tribunal"
"723","adj.","intelligent","inteligente"
"724","noun","the card","o cartão"
"725","noun","the garbage","o lixo"
"726","adj.","hard","duro"
"727","noun","the defense","a defesa"
"728","pron.","you all (archaic)","vós"
"729","adj.","huge","enorme"
"730","adj.","crazy","maluco"
"731","adj.","lost","perdido"
"732","adv.","finally, after all","afinal"
"733","adj.","fair","justo"
"734","noun","the enemy","o inimigo"
"735","verb","prove","provar"
"736","adj.","wonderful","maravilhoso"
"737","verb","accept","aceitar"
"738","noun","the hole","o buraco"
"739","noun","the pair","o par"
"740","noun","the emergency","a emergência"
"741","noun","the moon","a lua"
"742","noun","the risk","o risco"
"743","noun","the department","o departamento"
"744","noun","the smell","o cheiro"
"745","noun","the crap","a porcaria"
"746","adv.","suddenly","repente"
"747","noun","the ice","o gelo"
"748","prep.","despite","apesar"
"749","noun","the summer","o verão"
"750","adj.","patient","paciente"
"751","noun","the kitchen","a cozinha"
"752","noun","the tooth","o dente"
"753","noun","the goat","a cabra"
"754","noun","the direction","a direção"
"755","noun","the dice","o dado"
"756","noun","the train (used in Portugal)","o comboio"
"757","noun","the low","a baixa"
"758","noun","the silence","o silêncio"
"759","noun","the spirit","o espírito"
"760","noun","the christ","o cristo"
"761","noun","the detective or investigator","o detective"
"762","noun","the price","o preço"
"763","verb","end","terminar"
"764","verb","cut","cortar"
"765","verb","deal with","lidar"
"766","adj.","equal","igual"
"767","verb","cry","chorar"
"768","noun","the pressure","a pressão"
"769","noun","the daddy","o papai"
"770","noun","the ring","o anel"
"771","verb","clean","limpar"
"772","noun","the request","o pedido"
"773","noun","the suitcase","a mala"
"774","noun","the longing","a saudade"
"775","verb","serve","servir"
"776","noun","the soldier","o soldado"
"777","adj.","whole","inteiro"
"778","noun","the control","o controle"
"779","noun","the opinion","a opinião"
"780","adj.","worried","preocupado"
"781","noun","the report","o relatório"
"782","noun","the fish","o peixe"
"783","noun","the pants","a calça"
"784","noun","the shoe","o sapato"
"785","noun","the access","o acesso"
"786","verb","suppose","supor"
"787","adj.","suspect","suspeito"
"788","adj.","busy","ocupado"
"789","noun","the university","a universidade"
"790","noun","the courage","a coragem"
"791","noun","the nose","o nariz"
"792","noun","the client","o cliente"
"793","verb","fly","voar"
"794","noun","the station","a estação"
"795","noun","the star","a estrela"
"796","adj.","necessary","necessário"
"797","verb","choose","escolher"
"798","noun","the wine","o vinho"
"799","noun","the track","a pista"
"800","verb","present","apresentar"
"801","noun","the action","a ação"
"802","verb","thank","agradecer"
"803","noun","the glass or cup","o copo"
"804","adj.","responsible","responsável"
"805","verb","have fun","divertir"
"806","noun","the term","o termo"
"807","noun","the tea","o chá"
"808","noun","the beginning/start","o começo"
"809","adj.","long","longo"
"810","verb","create","criar"
"811","noun","the painted wall","a parede"
"812","noun","the ace","o ás"
"813","verb","shoot","disparar"
"814","verb","fire a weapon","atirar"
"815","adj.","paid","pago"
"816","noun","the American","o americano"
"817","verb","take care","cuidar"
"818","noun","the spectacle","o espetáculo"
"819","noun","the lie","a mentira"
"820","noun","the size","o tamanho"
"821","noun","the forgiveness","o perdão"
"822","noun","the ass","o cu"
"823","noun","the fair event","a féria"
"824","noun","the stone","a pedra"
"825","noun","the investigation","a investigação"
"826","noun","the small building","o edifício"
"827","adj.","prepared","preparado"
"828","noun","the chance","a chance"
"829","adj.","sweet","doce"
"830","noun","the grandfather","o avô"
"831","noun","the combat","o combate"
"832","adj.","green","verde"
"833","noun","the memory","a memória"
"834","verb","happen by chance","calhar"
"835","noun","the flight","o vôo"
"836","verb","make small movements","mexer"
"837","verb","avoid","evitar"
"838","noun","the visit","a visita"
"839","noun","the bullet","a bala"
"840","adj.","saved","salvo"
"841","noun","the expression on the face","a cara"
"842","noun","the deal","o trato"
"843","noun","the laboratory","o laboratório"
"844","noun","the trust","a confiança"
"845","noun","the homicide","o homicídio"
"846","noun","the faith","a fé"
"847","adj.","immense","imenso"
"848","verb","argue","discutir"
"849","noun","the conflict","a batalha"
"850","adj.","common","comum"
"851","verb","laugh","rir"
"852","verb","deliver","entregar"
"853","noun","the penis (slang)","o caralho"
"854","noun","the mobile phone","o telemóvel"
"855","adj.","maximum","máximo"
"856","adj.","dark color","preto"
"857","verb","sing","cantar"
"858","noun","the sound","o som"
"859","verb","restore","restaurar"
"860","noun","the listen","o escute"
"861","noun","the tongue","a língua"
"862","noun","the speed","a velocidade"
"863","noun","the aunt","a tia"
"864","noun","the tree","a árvore"
"865","noun","the dance","a dança"
"866","adj.","brilliant","brilhante"
"867","adj.","clean","limpo"
"868","noun","the park","o parque"
"869","noun","the princess","a princesa"
"870","noun","the neck","o pescoço"
"871","verb","endure","aguentar"
"872","verb","answer","responder"
"873","noun","the coat","o casaco"
"874","noun","the nature","a natureza"
"875","verb","usually","costumar"
"876","verb","enjoy oneself","gozar"
"877","noun","the exchange","a troca"
"878","verb","close","fechar"
"879","noun","the beach","a praia"
"880","noun","the commencement/initiation","o início"
"881","noun","the support","o apoio"
"882","verb","imagine","imaginar"
"883","noun","the sheriff","o xerife"
"884","noun","the race","a corrida"
"885","verb","check","verificar"
"886","adj.","smart","esperto"
"887","noun","the photograph","a fotografia"
"888","adj.","due","devido"
"889","noun","the bush","o mato"
"890","noun","the bridge","a ponte"
"891","noun","the shame","a vergonha"
"892","adj.","awesome","porreiro"
"893","noun","the series","a série"
"894","adj.","late","atrasado"
"895","noun","the clock","o relógio"
"896","noun","the beauty","a beleza"
"897","noun","the art","a arte"
"898","noun","the disease","a doença"
"899","noun","the monster","o monstro"
"900","adv.","exactly","exatamente"
"901","noun","the cat","o gato"
"902","noun","the van","a carrinha"
"903","noun","the chair","a cadeira"
"904","adv.","unfortunately","infelizmente"
"905","noun","the mom","a mamãe"
"906","noun","the distance","a distância"
"907","noun","the noise","o barulho"
"908","noun","the unit","a unidade"
"909","noun","the process","o processo"
"910","verb","send (dispatch)","enviar"
"911","adj.","insane","doido"
"912","noun","the search","a busca"
"913","noun","the jail","a cadeia"
"914","noun","the sword","a espada"
"915","verb","prefer","preferir"
"916","adv.","about to","prestes"
"917","verb","breathe","respirar"
"918","noun","the image","a imagem"
